onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	
6.0380	0.9678	1	1	8	1	copyroom5.jpg	scenes	6.0380	7.0057	3	3.9186
16.0133	0.9846	1	1	8	2	COCO_train2014_000000574760.jpg	coco	16.0133	16.9979	3	2.3907
26.0050	1.0008	1	1	8	3	COCO_train2014_000000232277.jpg	coco	26.0050	27.0058	1	1.6012
35.9967	1.0008	1	1	8	4	COCO_train2014_000000570785.jpg	rep_coco	35.9967	36.9975	1	1.5927
46.0051	1.0008	1	1	8	5	COCO_train2014_000000577964.jpg	coco	46.0051	47.0059	2	3.2010
55.9968	1.0009	1	1	8	6	n03498962_8595.JPEG	imagenet	55.9968	56.9976	2	3.9686
66.0052	1.0008	1	1	8	7	COCO_train2014_000000031078.jpg	coco	66.0052	67.0060	2	3.3128
75.9969	1.0008	1	1	8	8	n02128925_3869.JPEG	imagenet	75.9969	76.9978	3	4.2488
86.0053	1.0008	1	1	8	9	n03930313_4671.JPEG	imagenet	86.0053	87.0062	2	2.2646
95.9971	1.0008	1	1	8	10	n11879895_2208.JPEG	imagenet	95.9971	96.9979	1	1.9685
106.0055	1.0008	1	1	8	11	COCO_train2014_000000293368.jpg	coco	106.0055	107.0063	1	4.2564
115.9972	1.0008	1	1	8	12	n04252225_3764.JPEG	imagenet	115.9972	116.9980	3	5.9122
126.0076	0.9989	1	1	8	13	n04376876_15795.JPEG	imagenet	126.0076	127.0064	3	2.8962
135.9973	1.0008	1	1	8	14	homegarage2.jpg	scenes	135.9973	136.9982	2	2.4161
146.0061	1.0005	1	1	8	15	COCO_train2014_000000547186.jpg	coco	146.0061	147.0066	3	3.9998
155.9974	1.0009	1	1	8	16	COCO_train2014_000000371353.jpg	coco	155.9974	156.9983	0	0.0000
166.0059	1.0008	1	1	8	17	n02007558_11877.JPEG	imagenet	166.0059	167.0067	1	2.3194
175.9977	1.0008	1	1	8	18	jail4.jpg	scenes	175.9977	176.9984	3	2.0635
186.0075	0.9994	1	1	8	19	COCO_train2014_000000065400.jpg	coco	186.0075	187.0068	2	3.5435
195.9978	1.0008	1	1	8	20	COCO_train2014_000000162182.jpg	coco	195.9978	196.9986	2	4.2873
206.0080	0.9990	1	1	8	21	wrestlingring.jpg	scenes	206.0080	207.0070	2	2.2153
215.9979	1.0008	1	1	8	22	COCO_train2014_000000452279.jpg	coco	215.9979	216.9987	1	4.5111
226.0080	0.9991	1	1	8	23	n03595614_9847.JPEG	imagenet	226.0080	227.0071	2	5.1910
235.9980	1.0008	1	1	8	24	n02817516_52384.JPEG	imagenet	235.9980	236.9988	2	1.8310
246.0067	1.0005	1	1	8	25	COCO_train2014_000000174303.jpg	coco	246.0067	247.0072	3	5.6868
255.9981	1.0009	1	1	8	26	n01806143_8071.JPEG	imagenet	255.9981	256.9989	1	1.4147
266.0081	0.9992	1	1	8	27	COCO_train2014_000000572000.jpg	coco	266.0081	267.0073	2	1.4627
275.9982	1.0009	1	1	8	28	playground10.jpg	rep_scenes	275.9982	276.9991	1	2.2145
286.0076	0.9999	1	1	8	29	n07730033_9953.JPEG	imagenet	286.0076	287.0075	1	2.5583
295.9983	1.0008	1	1	8	30	COCO_train2014_000000010710.jpg	coco	295.9983	296.9992	2	1.7103
306.0074	1.0002	1	1	8	31	hedgemaze1.jpg	scenes	306.0074	307.0076	1	1.6062
315.9985	1.0008	1	1	8	32	COCO_train2014_000000246453.jpg	coco	315.9985	316.9993	2	4.2860
326.0075	1.0002	1	1	8	33	n03584829_17855.JPEG	imagenet	326.0075	327.0077	3	3.6539
335.9986	1.0008	1	1	8	34	n02910353_10950.JPEG	imagenet	335.9986	336.9994	2	3.7017
346.0073	1.0006	1	1	8	35	gazebo.jpg	scenes	346.0073	347.0079	1	2.0137
355.9988	1.0008	1	1	8	36	dugout1.jpg	scenes	355.9988	356.9996	3	1.9096
366.0073	1.0006	1	1	8	37	n07860988_9287.JPEG	imagenet	366.0073	367.0080	1	2.7495
